id,dt_ms,truth,lo_pct,hi_pct,w1g_pct,w1g_lo_pct,w1g_hi_pct,inside
aco-048,1.78,0.7767787128208761,-2.9792564314102044,2.5521352524983554,-0.5581654878687781,-1.0266629117216541,-0.0896680640159131,True
aco-039,1.86,0.5888433931801738,-3.3531067343312237,2.465565960661964,-0.902066675303792,-1.396322754022794,-0.4078105965848122,True
geo-058,2.0,1.1502233366955996,-3.6454829671616062,2.448296365705316,-0.7724367424794876,-1.0473467061488217,-0.4975267788101645,True
aco-053,1.9200000000000004,0.78026488958469,-3.237511263633086,2.8668670801920593,-0.5366580477833782,-1.0170309368131791,-0.05628515875356621,True
geo-110,1.5,1.017598988710618,-4.8562830507701165,1.379401643891165,-0.6357677092414638,-1.126095324807952,-0.14544009367496447,True
geo-057,2.0,0.9455685249084611,-4.060945439756091,2.687296815307594,-0.7153798009916223,-1.047089593663808,-0.38367000831943665,True
geo-043,2.0,0.9445667877389005,-3.9984446865910517,2.751125764913165,-0.9458428242650418,-1.2793625898272598,-0.6123230587028017,True
geo-044,2.0,0.9445147578813908,-3.981566555374705,2.770541800789128,-0.9715993589719973,-1.304448757484189,-0.6387499604598057,True
geo-061,2.0,0.9453044922163518,-4.022870506184873,2.7294564555197853,-0.8611974569087577,-1.1886932262799688,-0.5337016875375578,True
geo-040,2.0,0.943760629290255,-3.9364477105614304,2.8170360728551724,-1.079218292648687,-1.4148801024780888,-0.7435564828192742,True
geo-046,2.0,0.9439741983336831,-3.9404156437156,2.8142164785503354,-1.0311531183178846,-1.3643592409869232,-0.697946995648846,True
geo-052,2.0,0.9431710585135308,-3.8909502290367604,2.864262030905085,-1.0688594205926494,-1.4036609720518456,-0.7340578691334643,True
geo-048,2.0,0.9438052758663049,-3.927407094247992,2.828022148664,-1.0417669152754438,-1.3750824428033326,-0.708451387747544,True
geo-053,2.0,0.9432374692930581,-3.848058414613109,2.914124611693625,-1.0751353794604457,-1.4042509111518497,-0.7460198477690527,True
geo-059,2.0,0.9431452083499736,-3.8410824684014355,2.922238406383748,-1.057977545455302,-1.385435203135732,-0.7305198877748609,True
geo-054,2.0,0.9422659165446787,-3.7871735798647332,2.9764879782377074,-1.0925285006028629,-1.4242413334557336,-0.7608156677500033,True
aco-046,1.84,0.5513480836081354,-3.6887934588010207,3.139518033616695,-0.5816091336316775,-1.074729752083603,-0.0884885151797743,True
dis-010,0.5000000237487257,0.49827365360745657,-3.2518176267836596,3.688858453138133,1.9537111919835093,1.7693702799945532,2.1380521039725098,True
aco-052,1.8800000000000001,0.5531621654765257,-3.8516948599874867,3.203417825180077,-0.5407308738337058,-0.9848365199350839,-0.09662522773236093,True
geo-101,1.5,0.7398889395824706,-5.5153131847883845,1.8296624617807788,-0.7409674344379336,-1.1528873085520863,-0.329047560323803,True
dis-015,0.6000000284984708,0.5272690159324575,-3.5351076812308424,4.143402686386555,2.500862114357272,2.367378353159899,2.6343458755546,True
dis-043,0.5000000237487257,0.30040938616193386,-5.01858076795031,3.731813500308734,1.8704255856601737,1.799146459842671,1.941704711477632,True
geo-084,1.9200000000000004,0.7394485996466709,-6.668624206470264,2.216601877754565,-0.9656485587315911,-1.4075394113659212,-0.523757706097272,True
geo-086,1.9200000000000004,0.7393854818362996,-6.661013496854218,2.2266537271671716,-0.9615355408840176,-1.403626287536297,-0.5194447942317493,True
geo-082,1.9200000000000004,0.7394253828637213,-6.680709939518071,2.219497658803138,-0.9673698162314226,-1.409308150533195,-0.525431481929628,True
geo-085,1.9200000000000004,0.7394056300162312,-6.678330065660498,2.222646785721505,-0.9660836158373542,-1.4080860164113473,-0.5240812152633723,True
geo-087,1.9200000000000004,0.7393378081666963,-6.670136741831801,2.233448895748813,-0.9613553037581712,-1.403566552688118,-0.5191440548282134,True
dis-026,1.500000013038516,0.5096993603301169,-4.584386190976453,4.418957588199612,1.5303337164901398,1.2565808830830694,1.8040865498972103,True
dis-018,1.0000000474974513,0.39365442271188666,-5.006814754571465,4.021412084114817,1.4483006481485816,1.2572726489901598,1.6393286473070035,True
dis-029,1.0000000474974513,0.521353948635103,-4.580930423034779,4.455762824802889,1.4529522007229234,1.2473864774193544,1.6585179240264702,True
aco-040,1.4400000000000002,0.522264283605348,-4.84685684288193,4.216410392584646,-0.762344401554893,-1.2575275670873909,-0.26716123602237296,True
dis-035,1.500000013038516,0.6940031192011054,-4.62121983766417,4.483821712887193,1.2956227861077085,0.9368142247841105,1.6544313474313066,True
geo-098,1.0,0.4179296124683298,-3.403868420239431,6.181885621493666,2.2624845394168647,2.0364882292454034,2.488480849588348,True
geo-097,1.0,0.41788613938638225,-3.393008495275074,6.202669494808122,2.2733618385970544,2.0479319499936866,2.4987917272004223,True
geo-091,1.0,0.4174460083272914,-3.2816706528361106,6.41950742412869,2.3806724040944305,2.161669433772162,2.599675374416721,True
aco-031,1.6800000000000002,0.4526017644566574,-5.4007496048079195,4.338285701848199,-1.0555115404577542,-1.5426424201306577,-0.5683806607848618,True
aco-033,1.7000000000000002,0.45812986407392164,-5.309978103130519,4.435827651896873,-1.037834655947456,-1.5275190145028428,-0.5481502973920804,True
aco-032,1.7000000000000002,0.4574103045030589,-5.219020922176421,4.535463040053123,-1.038863598305495,-1.5289005363575359,-0.5488266602534653,True
geo-121,2.0,0.40081966635290367,-5.360462255664156,4.509312700802637,-0.6042556642585795,-1.090517483300124,-0.11799384521703482,True
dis-013,0.750000006519258,0.3997354381389915,-5.135147590560951,4.808980449318034,1.9971133264731655,1.7375752854533966,2.2566513674929123,True
dis-012,1.0000000474974513,0.5272690159324575,-4.870338934042595,5.27018551257854,2.495743053018318,2.129852892959838,2.8616332130767974,True
aco-035,1.42,0.24453897361942434,-5.629980253429901,4.661909872137793,-0.9466911956094615,-1.3999602455056048,-0.4934221457133292,True
aco-036,1.42,0.24421197444527515,-5.462225211295635,4.86690655926334,-0.9307958308385045,-1.3875595429129528,-0.47403211876407836,True
aco-034,1.42,0.24372393208369994,-5.391254977583171,4.941521205577493,-0.9574349674557392,-1.4164303207631845,-0.49843961414829385,True
aco-030,0.68,0.31738401490701695,-6.974799742652971,3.5325264008238433,-1.085742765926545,-1.2158664509489214,-0.9556190809041354,True
aco-044,2.0,0.33268993017430526,-6.299650982509053,4.560532504803416,-0.665452533033084,-1.1302885334492307,-0.20061653261691514,True
aco-026,1.98,0.27992554565069194,-7.086791918313251,4.263551824558776,-2.3143156045988933,-2.7448214671557003,-1.8838097420420974,True
aco-022,1.98,0.27988768694716565,-7.126747411735246,4.247964675206184,-2.5462009229826887,-2.9701083623552282,-2.1222934836101603,True
aco-023,1.98,0.2794819691551485,-6.989714429118299,4.387664889621012,-2.498225830845058,-2.924518787740338,-2.0719328739497667,True
aco-025,1.98,0.2790725073311705,-6.761752105065955,4.624960962013835,-2.3671565531440786,-2.79018318420855,-1.9441299220796182,True
dis-009,1.0000000474974513,0.23213488650696185,-5.836826030740139,5.800979694854558,1.993481374563788,1.6716718581429646,2.3152908909845893,True
aco-029,1.6,0.2439387054789966,-5.884433312844683,5.756093717927269,-1.2066309955147125,-1.6946253007098289,-0.7186366903195962,True
dis-016,1.0000000474974513,0.3997354381389915,-6.205799813975055,5.784568548770985,1.6042182577359343,1.1517097525487685,2.0567267629231,True
dis-008,1.5999999595806003,0.39365442271188666,-6.743134589015154,6.142358694625316,2.06861765005677,1.646044292978166,2.491191007135374,True
aco-049,1.98,0.7315991634893909,-8.37096222477076,4.958729988660915,-0.5574102481993193,-1.0526237230063629,-0.062196773392275695,True
aco-045,1.98,0.7314150309836122,-8.412044537037167,4.929545850171624,-0.5822834539959687,-1.0758733130356246,-0.08869359495630169,True
aco-042,1.98,0.7296024588668245,-8.730123746318974,4.716586133391498,-0.7538102868933416,-1.2198371148283926,-0.2877834589582906,True
aco-041,1.98,0.7302528360429075,-8.712297252172407,4.739119038215689,-0.7562815589233329,-1.220884789719734,-0.29167832812694305,True
geo-025,1.5,0.4171630380361569,-4.63007907360764,8.905996342395017,1.7444001098517292,1.4301979558619227,2.058602263841558,True
aco-050,1.98,0.7218149004083219,-8.438655262576834,5.374998526011177,-0.5445242728356448,-0.9816128372565958,-0.10743570841469374,True
dis-006,2.0000000949949026,0.3138860826820253,-7.836743301904758,6.053579837723966,-0.6833304377138694,-1.1446678193585136,-0.22199305606922515,True
aco-027,0.9600000000000002,0.3165694174869772,-9.03701420052483,5.00794315851214,-1.6809666547225155,-2.1408634005887217,-1.221069908856287,True
aco-047,2.0,0.7327965899976827,-8.74642579311602,5.414109561365166,-0.5645610672718182,-1.0413273095544073,-0.08779482498922908,True
aco-056,2.0,0.7350046469094019,-8.719560040931684,5.448207647299519,-0.5215240720897074,-1.0109765674630844,-0.032071576716308225,True
dis-028,1.0999999940395355,0.30040938616193386,-7.530634534714786,7.0646522074086615,2.8568644690271983,2.4775073448859652,3.2362215931684313,True
dis-007,2.0000000949949026,0.2983700431551602,-8.678930105312244,6.237047591584677,-0.5529423587454119,-1.041520655136463,-0.06436406235434955,True
geo-113,1.5,0.20010150728093004,-10.405573590005535,5.703218630448759,-1.165130108522927,-1.3564358276546118,-0.9738243893912424,True
geo-112,1.5,0.20018424046643632,-10.432487422400161,5.774493785867096,-1.1784331058895092,-1.3737995077999443,-0.9830667039790963,True
geo-103,1.5,0.20011627187284997,-10.340181747266463,5.975856146917202,-1.1812687550186496,-1.3853246704542244,-0.9772128395830859,True
geo-105,1.5,0.20011130645909783,-10.337799126405944,5.978904561579457,-1.1788504095215036,-1.3827170581564907,-0.9749837608865164,True
geo-102,1.5,0.20052324344351374,-10.578449955493008,5.780896857703932,-1.2294574926285162,-1.4339344789949027,-1.0249805062621298,True
geo-079,1.5,0.20068185593148116,-10.523271396305411,5.846928708495813,-1.182808085722864,-1.4092720431527983,-0.9563441282929186,True
geo-093,1.5,0.20095778645679171,-10.233649052084637,6.1379816379706575,-1.1361427267451485,-1.326956624092257,-0.94532882939804,True
geo-096,1.5,0.20082889050642255,-10.431703607936205,6.166010593262139,-1.1359148736213909,-1.3212772880876744,-0.9505524591550962,True
geo-065,1.5,0.20137323732000695,-10.538100341668155,6.0726210640238865,-1.334115480821374,-1.554005408895831,-1.114225552746928,True
geo-047,2.0,0.5299077184658149,-9.815656100525649,6.802661603687565,-1.2219328217228598,-1.5029913430167574,-0.9408743004289843,True
geo-068,1.4600000000000002,0.26521643543681933,-10.887677749729175,5.890873856975931,-1.049053343535289,-1.535259008153922,-0.5628476789166448,True
geo-029,2.0,0.3587686192201066,-9.90743952543962,6.985342858142585,-1.521068903358369,-1.9822638099881162,-1.0598739967286108,True
geo-066,2.0,0.28862925669573525,-12.185634114260601,4.723522174361827,-1.1570077488197827,-1.5106723367726893,-0.8033431608668984,True
geo-038,2.0,0.4157355922030562,-7.860181247168385,9.05655826912568,2.2904292875266963,1.9361813202686262,2.644677254784744,True
geo-072,2.0,0.41547272306911803,-7.848072743474333,9.117021106622492,2.3986204578337222,2.0605805771010344,2.73666033856641,True
geo-037,2.0,0.5289548274303715,-10.371636085912005,6.764550556992988,-4.680730622759288,-4.90623073825347,-4.45523050726514,True
geo-063,2.0,0.28749102029396784,-12.420739893168541,4.799702191562427,-1.2320192196909163,-1.5790273874430327,-0.8850110519387999,True
geo-067,2.0,0.2875651688281451,-12.263067064806755,4.998636907103071,-1.1749077795506158,-1.5193598493820737,-0.8304557097191578,True
geo-062,2.0,0.28733769698960404,-12.456286332554589,4.815921550720503,-1.2474950730497203,-1.593780944697587,-0.9012092014018758,True
geo-118,1.5,0.20027886586362154,-10.559631820341709,6.799452567374176,-1.1304957779687208,-1.3237299827345006,-0.937261573202941,True
geo-041,2.0,0.36263530583149334,-9.942560684577128,7.6859243617107165,-1.3306859981361496,-1.7801073299177905,-0.8812646663545087,True
geo-090,2.0,0.2881548846617117,-12.807806944545842,4.8236503497045335,-1.1927114996473587,-1.5479989276626749,-0.8374240716320536,True
geo-089,2.0,0.2881159733854692,-12.816290268217777,4.836468067219313,-1.1906320007669113,-1.5464757823021147,-0.8347882192317191,True
geo-064,1.4600000000000002,0.26589447558029394,-11.960731531109992,5.77504566300604,-1.1320797963221496,-1.6205847980542032,-0.643574794590096,True
geo-106,1.5,0.200598575804315,-10.661575134473654,7.109647375694905,-1.1309436671776751,-1.3374012844322825,-0.9244860499230678,True
